,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,1135.1214599609375,291.63970947265625,286.4578857421875
600,1182.9287109375,291.63873291015625,286.4764099121094
1200,1177.0970458984375,291.6379699707031,286.494140625
1800,1174.3638916015625,291.637939453125,286.51055908203125
2400,1185.4537353515625,291.6390380859375,286.52459716796875
3000,1163.0159912109375,291.638427734375,286.5384521484375
3600,1157.2919921875,291.638427734375,286.551513671875
4200,1138.547119140625,291.6376647949219,286.5645751953125
4800,1153.474609375,291.6387634277344,286.57562255859375
5400,1142.869384765625,291.6387634277344,286.5860595703125
6000,1126.560546875,291.63818359375,286.59661865234375
6600,1134.967529296875,291.6389465332031,286.6058044433594
7200,1126.0406494140625,291.6389465332031,286.6145324707031
7800,1105.93896484375,291.63812255859375,286.6238098144531
8400,1101.8499755859377,291.6380310058594,286.6327209472656
9000,1096.7999267578123,291.6380310058594,286.6412048339844
9600,1094.304443359375,291.6382141113281,286.6490478515625
10200,1111.8504638671877,291.6399230957031,286.6551208496094
10800,1098.6312255859377,291.6399230957031,286.6609191894531
11400,1064.4688720703123,291.6380615234375,286.6682434082031
12000,1060.3795166015623,291.6376953125,286.67578125
12600,1057.091796875,291.6376953125,286.6829528808594
13200,1071.965087890625,291.6388854980469,286.68841552734375
13800,1195.8956298828125,291.6483459472656,286.6858825683594
14400,1147.13232421875,291.6483459472656,286.6837158203125
15000,1095.591552734375,291.6454772949219,286.68450927734375
15600,1052.294189453125,291.641845703125,286.6884460449219
16200,1065.112548828125,291.641845703125,286.6924133300781
16800,1024.281005859375,291.6392517089844,286.69854736328125
17400,1029.979736328125,291.63916015625,286.7044982910156
18000,1027.0684814453123,291.63916015625,286.71014404296875
18600,1013.5618286132812,291.6385803222656,286.7160949707031
19200,1002.739013671875,291.6380615234375,286.72235107421875
19800,1000.946533203125,291.6380615234375,286.728271484375
20400,1011.0467529296876,291.6388854980469,286.7328796386719
21000,988.0687255859376,291.637939453125,286.7383117675781
21600,987.6279296875,291.637939453125,286.7434997558594
22200,1008.6898193359376,291.6397705078125,286.7470703125
22800,1030.5936279296877,291.6424255371094,286.7487487792969
23400,1012.65087890625,291.6424255371094,286.75054931640625
24000,1033.9949951171877,291.6445617675781,286.7510986328125
24600,1038.3668212890623,291.6461486816406,286.7509765625
25200,1025.0582275390623,291.6461486816406,286.75115966796875
25800,1023.8502197265624,291.64642333984375,286.7513122558594
26400,1028.9498291015623,291.6470642089844,286.7510070800781
27000,1022.0678100585938,291.6470642089844,286.7509765625
27600,969.323974609375,291.6437072753906,286.75408935546875
28200,971.522216796875,291.6429443359375,286.7575988769531
28800,973.4531860351562,291.6429443359375,286.7610168457031
29400,899.855224609375,291.639892578125,286.77056884765625
30000,887.9025268554688,291.6392517089844,286.7813415527344
30600,873.1978149414062,291.6392517089844,286.79315185546875
31200,844.6793823242188,291.6387023925781,286.8066101074219
31800,818.4484252929688,291.6381530761719,286.82159423828125
32400,801.040283203125,291.6381530761719,286.8373718261719
33000,775.7227783203125,291.6390380859375,286.8555908203125
33600,724.6941528320312,291.6380920410156,286.8766784667969
34200,697.390380859375,291.6380920410156,286.8992919921875
34800,0.0,291.552001953125,286.9228820800781
35400,0.0,291.4920654296875,286.947021484375
36000,0.0,291.44342041015625,286.9725341796875
36600,0.0,291.40228271484375,286.9974060058594
37200,0.0,291.3662109375,287.02056884765625
37800,0.0,291.3371887207031,287.0448913574219
38400,0.0,291.3128967285156,287.0689392089844
39000,0.0,291.29388427734375,287.0939636230469
39600,0.0,291.2796630859375,287.12017822265625
40200,0.0,291.26861572265625,287.1463317871094
40800,0.0,291.2601623535156,287.1723327636719
41400,0.0,291.2543029785156,287.1985778808594
42000,0.0,291.251220703125,287.2256164550781
42600,0.0,291.2493896484375,287.25213623046875
43200,0.0,291.24932861328125,287.2789001464844
43800,0.0,291.2464599609375,287.3013916015625
44400,0.0,291.24444580078125,287.3233642578125
45000,0.0,291.2422790527344,287.3440246582031
45600,0.0,291.2403564453125,287.36383056640625
46200,0.0,291.2390441894531,287.3832702636719
46800,0.0,291.23748779296875,287.401611328125
47400,0.0,291.230712890625,287.4136962890625
48000,0.0,291.22247314453125,287.42340087890625
48600,0.0,291.2133483886719,287.4313659667969
49200,0.0,291.20367431640625,287.4378662109375
49800,0.0,291.1936950683594,287.44329833984375
50400,0.0,291.1830749511719,287.44732666015625
51000,0.0,291.1689453125,287.447021484375
51600,0.0,291.15374755859375,287.4448547363281
52200,0.0,291.1375427246094,287.44091796875
52800,0.0,291.1209716796875,287.4358825683594
53400,0.0,291.1031188964844,287.42889404296875
54000,0.0,291.08441162109375,287.42041015625
54600,0.0,291.06475830078125,287.4102783203125
55200,0.0,291.0433654785156,287.3977966308594
55800,0.0,291.0210876464844,287.38385009765625
56400,0.0,290.9976501464844,287.3681640625
57000,0.0,290.97393798828125,287.35162353515625
57600,0.0,290.94940185546875,287.333740234375
58200,0.0,290.9307861328125,287.32159423828125
58800,0.0,290.9131774902344,287.31024169921875
59400,0.0,290.8964538574219,287.2996826171875
60000,0.0,290.88031005859375,287.2896423339844
60600,0.0,290.8646240234375,287.2800598144531
61200,0.0,290.8495788574219,287.2710876464844
61800,0.0,290.83502197265625,287.2625732421875
62400,0.0,290.8219299316406,287.2555847167969
63000,0.0,290.8092346191406,287.2490234375
63600,0.0,290.7969665527344,287.242919921875
64200,3107.970947265625,291.18328857421875,287.23638916015625
64800,3107.970947265625,291.4624938964844,287.23016357421875
65400,2636.3798828125,291.64337158203125,287.2247314453125
66000,1339.9573974609375,291.6434020996094,287.2196350097656
66600,1152.8062744140625,291.6437683105469,287.2146911621094
67200,1114.7130126953123,291.64398193359375,287.2098388671875
67800,1131.0313720703125,291.646728515625,287.2041931152344
68400,1110.9996337890623,291.646728515625,287.1986999511719
69000,1098.760498046875,291.6463623046875,287.19378662109375
69600,0.0,291.50531005859375,287.1887512207031
70200,0.0,291.402587890625,287.18377685546875
70800,0.0,291.3140563964844,287.1792297363281
71400,0.0,291.2369689941406,287.175048828125
72000,0.0,291.1692810058594,287.1708679199219
72600,0.0,291.109375,287.16644287109375
73200,0.0,291.0563049316406,287.1619873046875
73800,0.0,291.0094909667969,287.157958984375
74400,0.0,290.9671630859375,287.1533508300781
75000,0.0,290.9310607910156,287.1506652832031
75600,0.0,290.8988952636719,287.1481628417969
76200,0.0,290.8699951171875,287.1458740234375
76800,0.0,290.8426208496094,287.1423645019531
77400,0.0,290.81768798828125,287.1390380859375
78000,0.0,290.7960205078125,287.1369323730469
78600,3107.970947265625,291.1758728027344,287.1356201171875
79200,3107.970947265625,291.4497985839844,287.1342468261719
79800,2756.689453125,291.6417541503906,287.13336181640625
80400,1381.41943359375,291.6409606933594,287.13409423828125
81000,1186.627197265625,291.6413269042969,287.1346435546875
81600,1123.525146484375,291.639892578125,287.1359558105469
82200,1176.8834228515625,291.6443176269531,287.1336364746094
82800,1149.4940185546875,291.6443176269531,287.1311950683594
83400,1121.3673095703123,291.6428527832031,287.1298522949219
84000,1093.467529296875,291.6408386230469,287.1300964355469
84600,1098.6119384765623,291.6408386230469,287.1300354003906
85200,1065.7266845703123,291.63836669921875,287.1309814453125
85800,1072.732421875,291.63824462890625,287.13165283203125
86400,1071.276611328125,291.63824462890625,287.1318664550781
87000,1080.064697265625,291.63885498046875,287.13079833984375
87600,1060.320068359375,291.6379699707031,287.13043212890625
88200,1061.636962890625,291.6379699707031,287.12969970703125
88800,1060.1317138671877,291.6379699707031,287.1285705566406
89400,1069.2418212890623,291.63861083984375,287.1263732910156
90000,1065.2314453125,291.63861083984375,287.1239013671875
90600,1054.43310546875,291.63812255859375,287.1219177246094
91200,1060.4931640625,291.6385192871094,287.11932373046875
91800,1057.5076904296877,291.6385192871094,287.1165466308594
92400,1054.70556640625,291.638427734375,287.11370849609375
93000,1052.2696533203123,291.63836669921875,287.11083984375
93600,1051.507080078125,291.63836669921875,287.1077880859375
94200,1046.1004638671877,291.6383056640625,287.1050720214844
94800,1055.6214599609377,291.6390075683594,287.1015319824219
95400,1050.3682861328123,291.6390075683594,287.0980224609375
96000,1037.6043701171877,291.6383972167969,287.0952453613281
96600,1073.5692138671877,291.641357421875,287.0908203125
97200,1057.47802734375,291.641357421875,287.0864562988281
97800,1029.0389404296877,291.6391906738281,287.0832824707031
98400,1025.75146484375,291.6383056640625,287.080810546875
99000,1029.6827392578123,291.6383056640625,287.0782775878906
99600,1032.1483154296877,291.63848876953125,287.075439453125
100200,1030.5787353515623,291.63848876953125,287.072509765625
100800,1029.43505859375,291.63848876953125,287.0695495605469
101400,1021.9786987304688,291.63800048828125,287.06689453125
102000,1034.6485595703123,291.6386413574219,287.0633239746094
102600,1032.3463134765623,291.6386413574219,287.0596618652344
103200,1027.405029296875,291.63836669921875,287.0562744140625
103800,1031.7818603515623,291.6385498046875,287.05255126953125
104400,1031.474853515625,291.6385498046875,287.04876708984375
105000,1020.58251953125,291.6380615234375,287.0458679199219
105600,1027.429931640625,291.638427734375,287.0425720214844
106200,1025.1275634765623,291.638427734375,287.0392761230469
106800,1022.265869140625,291.6383056640625,287.0361022949219
107400,1038.302490234375,291.6395263671875,287.03204345703125
108000,1032.12841796875,291.6394958496094,287.028076171875
108600,1078.703369140625,291.6429748535156,287.021484375
109200,1046.486572265625,291.64178466796875,287.0159606933594
109800,1050.0018310546877,291.64178466796875,287.01068115234375
110400,1076.09423828125,291.6431579589844,287.0035400390625
111000,1084.88232421875,291.64410400390625,286.9958801269531
111600,1080.2183837890623,291.64410400390625,286.98858642578125
112200,1089.293701171875,291.644775390625,286.9810485839844
112800,1078.3765869140623,291.6443176269531,286.9743957519531
113400,1079.362060546875,291.6443176269531,286.9681091308594
114000,1039.4659423828123,291.6415710449219,286.9644470214844
114600,1025.919677734375,291.6401672363281,286.96270751953125
115200,1032.583984375,291.6401672363281,286.9608459472656
115800,986.251953125,291.6384582519531,286.9632568359375
116400,982.568359375,291.6386413574219,286.9664306640625
117000,969.502197265625,291.6386413574219,286.9704284667969
117600,947.6975708007812,291.63812255859375,286.975830078125
118200,950.668212890625,291.6389465332031,286.98095703125
118800,934.4439697265624,291.6389465332031,286.98681640625
119400,895.477783203125,291.6383972167969,286.9962158203125
120000,866.8702392578125,291.637939453125,287.0075378417969
120600,846.814208984375,291.637939453125,287.0201416015625
121200,0.0,291.53021240234375,287.0321044921875
121800,0.0,291.4559631347656,287.0472717285156
122400,0.0,291.3940734863281,287.0634765625
123000,0.0,291.33984375,287.0782470703125
123600,0.0,291.293212890625,287.0928955078125
124200,0.0,291.2539978027344,287.1082763671875
124800,0.0,291.2196960449219,287.1229553222656
125400,0.0,291.1905517578125,287.1379699707031
126000,0.0,291.1664123535156,287.15380859375
126600,0.0,291.1436767578125,287.1673583984375
127200,0.0,291.12188720703125,287.1787414550781
127800,0.0,291.10260009765625,287.1897888183594
128400,0.0,291.08544921875,287.2005920410156
129000,0.0,291.0694885253906,287.21044921875
129600,0.0,291.0552673339844,287.22021484375
130200,0.0,291.0403747558594,287.22760009765625
130800,0.0,291.0254211425781,287.2333984375
131400,0.0,291.01080322265625,287.2381591796875
132000,0.0,290.99688720703125,287.242431640625
132600,0.0,290.98291015625,287.2455139160156
133200,0.0,290.9690856933594,287.247802734375
133800,0.0,290.953369140625,287.2472229003906
134400,0.0,290.93963623046875,287.2477111816406
135000,0.0,290.9256896972656,287.2472839355469
135600,0.0,290.9111328125,287.2454833984375
136200,0.0,290.8955383300781,287.2420349121094
136800,0.0,290.87982177734375,287.2378845214844
137400,0.0,290.8629150390625,287.23187255859375
138000,0.0,290.8456115722656,287.22491455078125
138600,0.0,290.8278503417969,287.21697998046875
139200,0.0,290.8097229003906,287.2081604003906
139800,0.0,290.7912902832031,287.1985778808594
140400,0.0,290.7724609375,287.1881408691406
141000,0.0,290.75372314453125,287.1773681640625
141600,0.0,290.7325439453125,287.1637268066406
142200,0.0,290.7109069824219,287.14923095703125
142800,0.0,290.689453125,287.134521484375
143400,0.0,290.6680603027344,287.1194763183594
144000,0.0,290.6460876464844,287.1035461425781
144600,0.0,290.62713623046875,287.0904846191406
145200,0.0,290.6091003417969,287.07818603515625
145800,0.0,290.591552734375,287.06634521484375
146400,0.0,290.5736999511719,287.0540771484375
147000,0.0,290.5576171875,287.0435791015625
147600,0.0,290.54180908203125,287.0333251953125
148200,0.0,290.5257873535156,287.0229187011719
148800,0.0,290.5860290527344,287.08929443359375
149400,0.0,290.6401062011719,287.15081787109375
150000,0.0,290.71795654296875,287.2377014160156
150600,3107.970947265625,291.08660888671875,287.2173767089844
151200,3107.970947265625,291.3460693359375,287.1950378417969
151800,3107.970947265625,291.56268310546875,287.1678161621094
152400,2244.87353515625,291.64007568359375,287.14251708984375
153000,1594.2974853515625,291.6403503417969,287.1194763183594
153600,1531.70556640625,291.6444091796875,287.0970764160156
154200,1522.2884521484375,291.6468200683594,287.0741271972656
154800,1498.94677734375,291.6468505859375,287.0528869628906
155400,1485.5709228515625,291.64666748046875,287.0335998535156
156000,0.0,291.45697021484375,287.0158996582031
156600,0.0,291.31915283203125,286.9993896484375
157200,0.0,291.22906494140625,287.01287841796875
157800,0.0,291.2025146484375,287.0765075683594
158400,0.0,291.1812744140625,287.1346740722656
159000,0.0,291.08172607421875,287.10516357421875
159600,0.0,290.99102783203125,287.075439453125
160200,0.0,290.9112854003906,287.0487060546875
160800,0.0,290.8419189453125,287.02545166015625
161400,0.0,290.7813415527344,287.0050964355469
162000,0.0,290.72784423828125,286.98681640625
162600,0.0,290.678466796875,286.96826171875
163200,0.0,290.6351623535156,286.9520568847656
163800,0.0,290.5963134765625,286.9371337890625
164400,0.0,290.5618591308594,286.9239196777344
165000,0.0,290.53118896484375,286.9122009277344
165600,0.0,290.5031433105469,286.90118408203125
166200,3107.970947265625,290.88043212890625,286.89483642578125
166800,3107.970947265625,291.1521911621094,286.8890075683594
167400,3107.970947265625,291.3865051269531,286.8831481933594
168000,3107.970947265625,291.5903015136719,286.8768310546875
168600,2089.63134765625,291.637939453125,286.87060546875
169200,1617.1192626953125,291.6382141113281,286.8644104003906
169800,1520.038330078125,291.63818359375,286.86004638671875
170400,1495.196044921875,291.6384582519531,286.8558349609375
171000,1476.6448974609375,291.6384582519531,286.85205078125
171600,1467.9705810546875,291.6388244628906,286.84820556640625
172200,1444.49462890625,291.6383361816406,286.8453369140625
172800,1432.9171142578125,291.6383361816406,286.84283447265625
173400,1422.3780517578125,291.6380920410156,286.8400573730469
174000,1414.572021484375,291.6380920410156,286.8373107910156
174600,1405.719482421875,291.6380920410156,286.8345947265625
175200,1415.3822021484375,291.6391906738281,286.8305969238281
175800,1393.0511474609375,291.63861083984375,286.8273620605469
176400,1386.6776123046875,291.63861083984375,286.8242492675781
177000,1379.0958251953125,291.63861083984375,286.8211669921875
177600,1376.63671875,291.638916015625,286.81781005859375
178200,1368.1702880859375,291.638916015625,286.81451416015625
178800,1340.8931884765625,291.6376953125,286.81268310546875
179400,1349.612060546875,291.63836669921875,286.8100891113281
180000,1341.02685546875,291.6383361816406,286.8074951171875
180600,1347.672607421875,291.6390380859375,286.80389404296875
181200,1329.195068359375,291.638427734375,286.801025390625
181800,1326.0548095703125,291.638427734375,286.7981262207031
182400,1307.32470703125,291.6376037597656,286.7961730957031
183000,1328.654052734375,291.63909912109375,286.79266357421875
183600,1317.876953125,291.63909912109375,286.78912353515625
184200,1305.756591796875,291.63873291015625,286.7861633300781
184800,1293.190673828125,291.6382751464844,286.78387451171875
185400,1289.5367431640625,291.6382751464844,286.7816467285156
186000,1289.2396240234375,291.6385803222656,286.7791442871094
186600,1274.95947265625,291.63812255859375,286.7772521972656
187200,1271.4393310546875,291.63812255859375,286.7753601074219
187800,1277.0599365234375,291.63873291015625,286.7727966308594
188400,1263.2254638671875,291.63836669921875,286.7707214355469
189000,1259.532958984375,291.63836669921875,286.7687072753906
189600,1259.2596435546875,291.6386413574219,286.76641845703125
190200,1250.9061279296875,291.63848876953125,286.764404296875
190800,1246.806640625,291.63848876953125,286.762451171875
191400,1231.1868896484375,291.6376953125,286.76123046875
192000,1241.584228515625,291.6383361816406,286.7591857910156
192600,1235.9044189453125,291.6383361816406,286.7571105957031
193200,1236.748046875,291.63861083984375,286.7547302246094
193800,1244.6082763671875,291.6394348144531,286.7515869140625
194400,1237.550048828125,291.6394348144531,286.7485656738281
195000,1232.7020263671875,291.63970947265625,286.74603271484375
195600,1288.4549560546875,291.64434814453125,286.74029541015625
196200,1262.84814453125,291.6443176269531,286.73492431640625
196800,1286.4410400390625,291.6466064453125,286.72833251953125
197400,1266.53173828125,291.6463317871094,286.7226257324219
198000,1262.2747802734375,291.6463317871094,286.71734619140625
198600,1264.5831298828125,291.6466064453125,286.71197509765625
199200,1253.044921875,291.6461486816406,286.7073974609375
199800,1251.9874267578125,291.6461486816406,286.7030944824219
200400,1230.1619873046875,291.6445617675781,286.6998596191406
