Elapsed_time_sec,Q_heating,T_day,T_night
0,6786.83,291.15,293.15
600,5232.1,291.15,293.15
1200,5253.04,291.15,293.15
1800,5143.4,291.15,293.15
2400,5222.7,291.15,293.15
3000,5058.03,291.15,293.15
3600,5174.52,291.15,293.15
4200,5075.72,291.15,293.15
4800,5049.77,291.15,293.15
5400,5023.87,291.15,293.15
6000,4998.55,291.15,293.15
6600,4973.5,291.15,293.15
7200,4948.73,291.15,293.15
7800,4924.98,291.15,293.15
8400,4901.89,291.15,293.15
9000,4879.17,291.15,293.15
9600,4856.7,291.15,293.15
10200,4833.99,291.15,293.15
10800,4811.2,291.15,293.15
11400,4788.22,291.15,293.15
12000,4766.11,291.15,293.15
12600,4744.33,291.15,293.15
13200,4723.05,291.15,293.15
13800,4701.99,291.15,293.15
14400,4680.8,291.15,293.15
15000,4659.82,291.15,293.15
15600,4638.87,291.15,293.15
16200,4618.15,291.15,293.15
16800,4597.43,291.15,293.15
17400,4577.18,291.15,293.15
18000,4558.34,291.15,293.15
18600,4539.23,291.15,293.15
19200,4521.19,291.15,293.15
19800,4503.14,291.15,293.15
20400,4485.39,291.15,293.15
21000,4467.83,291.15,293.15
21600,4450.28,291.15,293.15
22200,3208.22,290.82,292.48
22800,2299.05,290.48,291.82
23400,1494.38,290.18,291.15
24000,941.99,290.14,290.48
24600,394.96,290.13,289.82
25200,0,290.13,289.2
25800,84.37,290.04,289.15
26400,100.23,289.93,289.15
27000,115.65,289.8,289.15
27600,130.4,289.68,289.15
28200,144.15,289.56,289.15
28800,156.92,289.43,289.15
29400,167.5,289.38,289.15
30000,172.93,289.37,289.15
30600,173.66,289.36,289.15
31200,169.88,289.36,289.15
31800,164.46,289.36,289.15
32400,159.51,289.37,289.15
33000,167.43,289.36,289.15
33600,172.66,289.35,289.15
34200,177.4,289.34,289.15
34800,182.08,289.33,289.15
35400,186.77,289.32,289.15
36000,191.45,289.31,289.15
36600,195.82,289.31,289.15
37200,197.87,289.3,289.15
37800,199.23,289.29,289.15
38400,200.16,289.29,289.15
39000,200.87,289.28,289.15
39600,201.46,289.28,289.15
40200,201.89,289.27,289.15
40800,202.73,289.27,289.15
41400,203.56,289.26,289.15
42000,204.4,289.26,289.15
42600,205.24,289.25,289.15
43200,206.08,289.25,289.15
43800,206.09,289.24,289.15
44400,209.21,289.23,289.15
45000,213.16,289.23,289.15
45600,217.73,289.22,289.15
46200,222.94,289.21,289.15
46800,228.8,289.2,289.15
47400,235.29,289.19,289.15
48000,242.96,289.18,289.15
48600,250.62,289.17,289.15
49200,258.28,289.15,289.15
49800,277.1,289.15,289.15
50400,298.08,289.15,289.15
51000,319.6,289.15,289.15
51600,341.21,289.15,289.15
52200,363.53,289.15,289.15
52800,387.7,289.15,289.15
53400,414.35,289.15,289.15
54000,443.31,289.15,289.15
54600,472.74,289.15,289.15
55200,500.87,289.15,289.15
55800,529,289.15,289.15
56400,556.15,289.15,289.15
57000,580.55,289.15,289.15
57600,604.6,289.15,289.15
58200,2139.06,289.98,289.48
58800,3286.53,290.82,289.82
59400,4426.59,291.65,290.15
60000,5558.28,292.48,290.48
60600,6679.21,293.32,290.82
61200,7844.75,294.14,291.15
61800,7394.45,294.15,291.15
62400,7334.84,294.15,291.15
63000,7227.73,294.15,291.15
63600,7245.7,294.15,291.15
64200,7130.13,294.15,291.15
64800,7083.34,294.15,291.15
65400,7061.28,294.15,291.15
66000,7024.92,294.15,291.15
66600,6989.61,294.15,291.15
67200,6955.11,294.15,291.15
67800,6921.94,294.15,291.15
68400,6889.32,294.15,291.15
69000,6857,294.15,291.15
69600,6825.8,294.15,291.15
70200,6795.24,294.15,291.15
70800,6765.58,294.15,291.15
71400,6736.38,294.15,291.15
72000,6708.5,294.15,291.15
72600,6680.75,294.15,291.15
73200,6653.77,294.15,291.15
73800,6627.66,294.15,291.15
74400,6602.09,294.15,291.15
75000,6577.02,294.15,291.15
75600,6552.63,294.15,291.15
76200,6226.75,293.65,291.48
76800,5974.29,293.15,291.82
77400,5717.19,292.65,292.15
78000,5462.46,292.15,292.48
78600,5210.45,291.65,292.82
79200,4961.67,291.15,293.15
79800,5014.71,291.15,293.15
80400,5001.77,291.15,293.15
81000,4995.95,291.15,293.15
81600,4990.93,291.15,293.15
82200,4985.9,291.15,293.15
82800,4982.43,291.15,293.15
83400,4978.54,291.15,293.15
84000,4976.81,291.15,293.15
84600,4976.2,291.15,293.15
85200,4976.6,291.15,293.15
85800,4977.36,291.15,293.15
86400,4978.17,291.15,293.15
87000,4334.43,291.15,293.15
87600,4383.98,291.15,293.15
88200,4353.25,291.15,293.15
88800,4352.14,291.15,293.15
89400,4351.26,291.15,293.15
90000,4350.62,291.15,293.15
90600,4350.18,291.15,293.15
91200,4349.95,291.15,293.15
91800,4349.59,291.15,293.15
92400,4348.13,291.15,293.15
93000,4346.68,291.15,293.15
93600,4343.32,291.15,293.15
94200,4339.22,291.15,293.15
94800,4334.05,291.15,293.15
95400,4328.71,291.15,293.15
96000,4323.41,291.15,293.15
96600,4319.04,291.15,293.15
97200,4315.01,291.15,293.15
97800,4311.1,291.15,293.15
98400,4307.88,291.15,293.15
