Elapsed_time_sec,Q_heating,T_day,T_night
0,0,293.15,293.15
600,369.1,292.75,293.15
1200,273.33,292.69,293.15
1800,234.69,292.7,293.15
2400,234.98,292.71,293.15
3000,238.27,292.71,293.15
3600,244.06,292.71,293.15
4200,251.91,292.71,293.15
4800,261.5,292.71,293.15
5400,272.61,292.7,293.15
6000,284.57,292.7,293.15
6600,296.74,292.7,293.15
7200,308.98,292.69,293.15
7800,321.23,292.69,293.15
8400,333.4,292.69,293.15
9000,345.47,292.69,293.15
9600,357.66,292.68,293.15
10200,370.02,292.68,293.15
10800,382.24,292.67,293.15
11400,394.01,292.67,293.15
12000,404.99,292.66,293.15
12600,414.88,292.66,293.15
13200,424.29,292.66,293.15
13800,433.97,292.65,293.15
14400,443.78,292.65,293.15
15000,453.56,292.64,293.15
15600,463.17,292.64,293.15
16200,472.48,292.64,293.15
16800,482.14,292.63,293.15
17400,492.55,292.62,293.15
18000,503.19,292.62,293.15
18600,513.6,292.61,293.15
19200,523.34,292.61,293.15
19800,532,292.6,293.15
20400,540.11,292.6,293.15
21000,548.34,292.59,293.15
21600,556.52,292.58,293.15
22200,564.5,292.58,293.15
22800,572.12,292.57,293.15
23400,579.24,292.57,293.15
24000,586.07,292.56,293.15
24600,592.89,292.56,293.15
25200,0,292.7,292.64
25800,0,292.84,292.31
26400,0,292.88,292.15
27000,0,292.89,292.06
27600,0,292.9,292
28200,0,292.9,291.96
28800,0,292.89,291.92
29400,0,292.89,291.89
30000,0,292.88,291.86
30600,0,292.88,291.84
31200,0,292.87,291.81
31800,0,292.87,291.79
32400,0,292.87,291.77
33000,0,292.87,291.76
33600,0,292.86,291.74
34200,0,292.86,291.73
34800,0,292.86,291.72
35400,0,292.86,291.71
36000,0,292.86,291.71
36600,0,292.87,291.7
37200,0,292.87,291.69
37800,0,292.87,291.69
38400,0,292.87,291.68
39000,0,292.87,291.68
39600,0,292.86,291.67
40200,0,292.86,291.66
40800,0,292.86,291.66
41400,0,292.86,291.65
42000,0,292.86,291.65
42600,0,292.86,291.64
43200,0,292.86,291.64
