Elapsed_time_sec,Q_heating,T_day,T_night
0,0,291.15,293.15
600,3419.44,291.15,293.15
1200,4363.89,291.15,293.15
1800,3961.11,291.15,293.15
2400,3652.78,291.15,293.15
3000,3336.11,291.15,293.15
3600,2997.22,291.15,293.15
4200,2794.44,291.15,293.15
4800,2761.11,291.15,293.15
5400,2769.44,291.15,293.15
6000,2772.22,291.15,293.15
6600,2775,291.15,293.15
7200,2744.44,291.15,293.15
7800,2741.67,291.15,293.15
8400,2750,291.15,293.15
9000,2755.56,291.15,293.15
9600,2766.67,291.15,293.15
10200,2775,291.15,293.15
10800,2800,291.15,293.15
11400,2813.89,291.15,293.15
12000,2819.44,291.15,293.15
12600,2830.56,291.15,293.15
13200,2836.11,291.15,293.15
13800,2844.44,291.15,293.15
14400,2897.22,291.15,293.15
15000,2919.44,291.15,293.15
15600,2925,291.15,293.15
16200,2925,291.15,293.15
16800,2930.56,291.15,293.15
17400,2936.11,291.15,293.15
18000,2997.22,291.15,293.15
18600,3025,291.15,293.15
19200,3025,291.15,293.15
19800,3030.56,291.15,293.15
20400,3033.33,291.15,293.15
21000,3038.89,291.15,293.15
21600,3111.11,291.15,293.15
22200,3138.89,291.15,293.15
22800,3141.67,291.15,293.15
23400,3147.22,291.15,293.15
24000,3147.22,291.15,293.15
24600,3152.78,291.15,293.15
25200,3230.56,291.15,293.15
25800,977.78,290.85,292.65
26400,0,290.35,291.95
27000,0,290.05,291.75
27600,0,289.85,291.75
28200,0,289.75,291.75
28800,0,289.65,291.65
29400,0,289.65,291.45
30000,0,289.55,291.45
30600,0,289.55,291.45
31200,0,289.55,291.45
31800,0,289.55,291.45
32400,0,289.45,291.35
33000,0,289.45,291.25
33600,0,289.35,291.15
34200,0,289.35,291.25
34800,0,289.35,291.25
35400,0,289.35,291.25
36000,0,289.35,291.15
36600,0,289.35,291.05
37200,0,289.35,291.05
37800,0,289.35,291.05
38400,0,289.35,291.05
39000,0,289.35,291.05
39600,0,289.35,290.95
40200,0,289.35,290.85
40800,0,289.25,290.85
41400,0,289.35,290.85
42000,0,289.35,290.85
42600,0,289.35,290.95
43200,0,289.35,290.85
43800,0,289.25,290.75
44400,0,289.25,290.75
45000,0,289.25,290.75
45600,0,289.25,290.75
46200,0,289.35,290.75
46800,0,289.25,290.75
47400,0,289.25,290.65
48000,0,289.25,290.65
48600,0,289.25,290.65
49200,0,289.25,290.65
49800,0,289.25,290.65
50400,0,289.25,290.65
51000,0,289.25,290.55
51600,0,289.15,290.55
52200,0,289.15,290.55
52800,0,289.15,290.55
53400,1.93,289.15,290.55
54000,60.56,289.15,290.45
54600,87.22,289.15,290.35
55200,93.06,289.15,290.35
55800,100,289.15,290.35
56400,107.22,289.15,290.35
57000,115,289.15,290.35
57600,173.89,289.15,290.25
58200,206.67,289.15,290.15
58800,220.83,289.15,290.15
59400,228.61,289.15,290.15
60000,234.17,289.15,290.15
60600,239.72,289.15,290.05
61200,300,289.15,290.05
61800,7902.78,291.65,290.55
62400,7100,294.15,291.15
63000,5591.67,294.15,291.15
63600,5697.22,294.15,291.15
64200,5702.78,294.15,291.15
64800,5622.22,294.15,291.15
65400,5600,294.15,291.15
66000,5605.56,294.15,291.15
66600,5638.89,294.15,291.15
67200,5647.22,294.15,291.15
67800,5652.78,294.15,291.15
68400,5522.22,294.15,291.15
69000,5483.33,294.15,291.15
69600,5491.67,294.15,291.15
70200,5525,294.15,291.15
70800,5530.56,294.15,291.15
71400,5538.89,294.15,291.15
72000,5458.33,294.15,291.15
72600,5427.78,294.15,291.15
73200,5436.11,294.15,291.15
73800,5469.44,294.15,291.15
74400,5475,294.15,291.15
75000,5483.33,294.15,291.15
75600,5413.89,294.15,291.15
76200,5413.89,294.15,291.15
76800,5422.22,294.15,291.15
77400,5427.78,294.15,291.15
78000,5433.33,294.15,291.15
78600,5469.44,294.15,291.15
79200,5408.33,294.15,291.15
79800,5972.22,293.05,292.15
80400,5791.67,291.55,293.15
81000,6238.89,291.15,293.15
81600,6480.56,291.15,293.15
82200,6475,291.15,293.15
82800,6186.11,291.15,293.15
83400,6091.67,291.15,293.15
84000,6125,291.15,293.15
84600,6130.56,291.15,293.15
85200,6136.11,291.15,293.15
85800,6141.67,291.15,293.15
86400,5883.33,291.15,293.15
87000,5822.22,291.15,293.15
87600,5827.78,291.15,293.15
88200,5863.89,291.15,293.15
88800,5872.22,291.15,293.15
89400,5877.78,291.15,293.15
90000,5716.67,291.15,293.15
90600,5677.78,291.15,293.15
91200,5716.67,291.15,293.15
91800,5725,291.15,293.15
92400,5733.33,291.15,293.15
93000,5772.22,291.15,293.15
93600,5661.11,291.15,293.15
94200,5650,291.15,293.15
94800,5655.56,291.15,293.15
95400,5691.67,291.15,293.15
96000,5700,291.15,293.15
96600,5705.56,291.15,293.15
97200,5650,291.15,293.15
97800,5633.33,291.15,293.15
98400,5666.67,291.15,293.15
99000,5669.44,291.15,293.15
99600,5672.22,291.15,293.15
100200,5677.78,291.15,293.15
100800,5641.67,291.15,293.15
101400,5625,291.15,293.15
102000,5627.78,291.15,293.15
102600,5630.56,291.15,293.15
103200,5636.11,291.15,293.15
103800,5666.67,291.15,293.15
104400,5633.33,291.15,293.15
105000,5616.67,291.15,293.15
105600,5650,291.15,293.15
106200,5655.56,291.15,293.15
106800,5661.11,291.15,293.15
107400,5666.67,291.15,293.15
108000,5661.11,291.15,293.15
108600,5672.22,291.15,293.15
109200,5675,291.15,293.15
109800,5675,291.15,293.15
110400,5677.78,291.15,293.15
111000,5680.56,291.15,293.15
111600,5700,291.15,293.15
112200,1705.56,290.55,292.25
112800,0,289.55,291.15
113400,430.56,289.15,290.85
114000,625,289.15,290.75
114600,630.56,289.15,290.75
115200,702.78,289.15,290.55
115800,733.33,289.15,290.45
116400,733.33,289.15,290.45
117000,736.11,289.15,290.45
117600,738.89,289.15,290.35
118200,738.89,289.15,290.35
118800,822.22,289.15,290.25
119400,850,289.15,290.05
120000,841.67,289.15,290.05
120600,836.11,289.15,290.05
121200,827.78,289.15,290.05
121800,822.22,289.15,290.05
122400,883.33,289.15,289.85
123000,902.78,289.15,289.75
123600,894.44,289.15,289.65
124200,886.11,289.15,289.65
124800,880.56,289.15,289.75
125400,872.22,289.15,289.75
126000,925,289.15,289.65
126600,938.89,289.15,289.45
127200,930.56,289.15,289.45
127800,925,289.15,289.45
128400,919.44,289.15,289.45
129000,916.67,289.15,289.45
129600,966.67,289.15,289.35
130200,983.33,289.15,289.25
130800,980.56,289.15,289.25
131400,975,289.15,289.25
132000,975,289.15,289.25
132600,975,289.15,289.25
