Datetime,Qheat_injection_W,Qheat_losses_W,Critical_temp_K,Critical_press_drop_Pa
102600.00,77187.9,3728.6,321.835,-23251
103500.00,77562.6,3729.33,321.841,-23487.3
104400.00,77924.7,3729.67,321.843,-23717.8
105300.00,78261.4,3729.88,321.84,-23933.9
106200.00,78584.1,3730.19,321.84,-24142.2
107100.00,78896.9,3730.53,321.843,-24344.9
108000.00,79211.6,3730.96,321.853,-24549.4
108900.00,79511.5,3731.11,321.866,-24745.3
109800.00,79772.5,3731.16,321.863,-24917.1
110700.00,80002.3,3731.26,321.866,-25069.2
111600.00,40288.4,2924.71,321.719,-6321.46
112500.00,944.236,346.655,321.458,-25.5541
113400.00,964.408,735.172,321.322,-25.5541
114300.00,984.009,980.481,321.088,-25.5541
115200.00,1003.05,1191.55,320.776,-25.5541
116100.00,1020.17,1348.83,320.393,-25.5541
117000.00,1036,1413.5,319.948,-25.5541
117900.00,1054.52,1474.83,319.452,-25.5541
118800.00,1073.99,1536.34,318.911,-25.5541
119700.00,1092.95,1596.57,318.334,-25.5541
120600.00,1111.12,1654.13,317.726,-25.5541
121500.00,1127.76,1688.53,317.094,-25.5541
122400.00,1146.75,1698.68,316.441,-25.5541
123300.00,1163.29,1707.89,315.773,-25.5541
124200.00,1177.66,1717.15,315.094,-25.5541
125100.00,1190.75,1726.69,314.407,-25.5541
126000.00,1202.78,1737.01,313.716,-25.5541
126900.00,1213.56,1747.67,313.022,-25.5541
127800.00,1222.96,1759.63,312.33,-25.5541
128700.00,1231.09,1772.46,311.64,-25.5541
129600.00,1238.18,1785.82,310.954,-25.5541
130500.00,1244.5,1799.14,310.274,-25.5541
131400.00,1250.27,1812.14,309.601,-25.5541
132300.00,1255.64,1824.96,308.937,-25.5541
133200.00,1260.66,1837.64,308.283,-25.5541
134100.00,1265.31,1850.13,307.639,-25.5541
135000.00,1269.61,1862.31,307.006,-25.5541
135900.00,1273.6,1874.08,306.384,-25.5541
136800.00,1277.33,1885.34,305.774,-25.5541
137700.00,1280.88,1895.96,305.177,-25.5541
138600.00,1284.31,1905.62,304.593,-25.5541
139500.00,1287.66,1904.92,304.021,-25.5541
140400.00,1290.96,1896.94,303.463,-25.5541
141300.00,1294.23,1894.69,302.918,-25.5541
142200.00,1297.47,1885.96,302.386,-25.5541
143100.00,1300.71,1874.78,301.867,-25.5541
144000.00,1303.94,1864.29,301.362,-25.5541
144900.00,1307.16,1854.32,300.87,-25.5541
145800.00,1310.38,1846.12,300.39,-25.5541
146700.00,1313.58,1838.78,299.923,-25.5541
147600.00,193976,28926.6,299.104,-103145
148500.00,239466,3635.57,322.718,-209653
149400.00,204146,3790.05,322.657,-173969
150300.00,202301,3791.96,322.652,-170894
151200.00,201131,3792.16,322.648,-168862
152100.00,200423,3792.59,322.644,-167634
153000.00,199945,3792.68,322.644,-166809
153900.00,199660,3792.87,322.644,-166317
154800.00,199480,3792.93,322.644,-166007
155700.00,199376,3792.99,322.643,-165829
156600.00,199299,3793,322.643,-165696
157500.00,195511,3777.35,322.636,-159423
158400.00,187537,3780.56,322.612,-146404
159300.00,181867,3779.93,322.596,-137439
160200.00,176761,3778.67,322.579,-129626
161100.00,172228,3777.97,322.565,-122884
162000.00,168068,3776.82,322.55,-116860
162900.00,164302,3776.08,322.536,-111537
163800.00,160799,3775.01,322.522,-106701
164700.00,157582,3774.26,322.508,-102355
165600.00,158528,3787.65,322.508,-103521
166500.00,162449,3783.38,322.565,-108809
167400.00,137457,3678.88,322.465,-77734.5
168300.00,123933,3739.13,322.353,-62707.8
169200.00,117715,3741.58,322.301,-56253.2
170100.00,112968,3742.03,322.262,-51613.7
171000.00,108911,3740.28,322.227,-47832.9
171900.00,105509,3739.83,322.192,-44776.8
172800.00,102562,3738.62,322.163,-42212.1
173700.00,100087,3738.29,322.137,-40115.7
174600.00,97855.1,3736.91,322.113,-38273.2
175500.00,97798.9,3762.34,322.097,-38168
176400.00,98914.5,3748.87,322.127,-39044.4
177300.00,98649.9,3747.44,322.113,-38839.2
178200.00,98429,3747.61,322.109,-38665
179100.00,98237.3,3747.58,322.107,-38510.5
180000.00,98031.5,3747.29,322.103,-38343.7
180900.00,97800.9,3746.98,322.102,-38157.1
181800.00,97561.3,3746.71,322.099,-37963.4
182700.00,97292.8,3746.28,322.096,-37747.3
183600.00,96996,3745.88,322.093,-37509.1
184500.00,96714.3,3745.84,322.089,-37282.8
185400.00,96484,3745.88,322.087,-37097.1
186300.00,96309.2,3746.05,322.085,-36955.7
187200.00,96156.7,3745.94,322.083,-36832.8
188100.00,95954.6,3745.38,322.081,-36672.6
189000.00,95710,3744.97,322.079,-36479.5
189900.00,95451.6,3744.74,322.075,-36275.7
190800.00,95228.7,3744.77,322.073,-36099.1
191700.00,95109.3,3745.35,322.07,-36002.3
192600.00,95066.7,3745.65,322.07,-35965.9
193500.00,95062.4,3745.77,322.07,-35960.8
194400.00,95036.8,3745.57,322.07,-35940.4
195300.00,94950,3745.11,322.069,-35873.2
196200.00,94828.4,3744.84,322.068,-35778.9
197100.00,94679.4,3744.56,322.067,-35663.2
198000.00,47452.6,2995.09,321.899,-8897.49
198900.00,937.344,332.801,321.615,-25.5541
199800.00,957.732,726.227,321.479,-25.5541
200700.00,977.542,973.977,321.249,-25.5541
201600.00,996.79,1187.18,320.937,-25.5541
202500.00,1014.3,1347.87,320.555,-25.5541
203400.00,1030.08,1413.27,320.111,-25.5541
204300.00,1048.79,1475.08,319.614,-25.5541
205200.00,1068.45,1537.12,319.071,-25.5541
