Time,HeatInjection,HeatLosses
229500,1371.62,2019.7
230400,1375.57,2005.8
231300,1379.46,1992.49
232200,1383.27,1979.76
233100,1387,1967.57
234000,194302,3158.37
234900,264975,3794.75
235800,208987,3801.11
236700,206781,3799.49
237600,205134,3798.96
238500,204027,3798.63
239400,203198,3798.36
240300,202607,3798.15
241200,202153,3798.03
242100,201840,3797.92
243000,201606,3797.81
243900,201441,3797.75
244800,201358,3797.31
245700,191041,3795.42
246600,185414,3793.53
247500,180508,3791.84
248400,175994,3790.28
249300,171756,3788.79
250200,167667,3787.31
251100,163811,3786.02
252000,161121,3784.82
252900,162035,3784.61
253800,162049,3784.45
254700,125856,3774.38
255600,119675,3767.09
256500,114890,3763.07
257400,110836,3760.04
258300,107493,3757.41
259200,104621,3755.08
260100,104168,3753.63
261000,105357,3753.53
261900,105161,3753.61
262800,104975,3753.64
263700,104856,3753.61
264600,104805,3753.58
265500,104784,3753.55
266400,104729,3753.48
267300,104617,3753.41
268200,104508,3753.34
269100,104410,3753.27
270000,104320,3753.25
270900,104293,3753.25
271800,104334,3753.24
272700,104397,3753.23
273600,104429,3753.23
274500,104412,3753.22
275400,104401,3753.21
276300,104387,3753.2
277200,104348,3753.17
278100,104272,3753.13
279000,104166,3753.06
279900,104031,3752.95
280800,103879,3752.85
281700,103725,3752.75
282600,103593,3752.65
283500,103589,3752.6
284400,52105.1,3735.38
285300,936.322,3618.13
286200,957.016,3463.31
287100,977.231,3327.44
288000,997.304,3207.46
288900,1018.1,3101.22
289800,1040.63,3006.85
290700,1065.38,2922.72
291600,1091.95,2847.41
292500,1119.4,2779.7
293400,1146.67,2718.58
294300,1172.78,2663.16
295200,1196.93,2612.71
296100,1218.58,2566.6
297000,1237.43,2524.26
297900,1253.49,2485.16
298800,1266.98,2448.86
299700,1278.28,2414.95
300600,1287.78,2383.09
301500,1295.85,2353.04
302400,1302.84,2324.56
303300,1308.99,2297.51
304200,1314.5,2271.73
305100,1319.55,2247.12
306000,1324.27,2223.6
306900,1328.78,2201.09
307800,1333.14,2179.55
308700,1337.42,2158.91
309600,1341.65,2139.15
310500,1345.84,2120.21
311400,1350,2102.07
312300,1354.14,2084.7
313200,1358.26,2068.06
314100,1362.37,2052.13
315000,1366.46,2036.88
315900,1370.51,2022.28
316800,1374.5,2008.31
317700,1378.43,1994.94
318600,1382.27,1982.14
319500,1386.02,1969.89
320400,194152,3160.35
321300,270547,3795.72
322200,219392,3803.82
323100,216681,3802.35
324000,214769,3801.76
324900,213575,3801.37
325800,212755,3801.1
326700,212247,3800.92
327600,211896,3800.79
328500,211655,3800.69
329400,211462,3800.64
330300,211324,3800.59
331200,211241,3800.57
332100,211231,3800.49
333000,211252,3800.39
333900,205893,3799.58
334800,198778,3797.81
