Time,Q_flow_out,Q_heatloss,T_in_sub_peripheral,delta_p
0.0,80634.1796875,0.0,308.1499938964844,-92228.5
900.0,120589.8046875,3362.7216796875,322.2137756347656,120000.15625
1800.0,88903.828125,3737.015380859375,322.2110290527344,120000.125
2700.0,86701.6796875,3740.861328125,322.18829345703125,120000.03125
3600.0,85722.953125,3740.40673828125,322.17413330078125,120000.21875
4500.0,85175.2109375,3741.179931640625,322.1661376953125,120000.0625
5400.0,84829.984375,3740.361083984375,322.16131591796875,120000.125
6300.0,84678.765625,3740.80615234375,322.1583557128906,120000.0
7200.0,84600.15625,3741.078369140625,322.15716552734375,120000.03125
8100.0,84636.859375,3742.114990234375,322.1571960449219,120000.0
9000.0,84705.765625,3742.120361328125,322.1573181152344,120000.0625
9900.0,84813.6640625,3742.34423828125,322.158447265625,120000.0
10800.0,84864.4140625,3742.6845703125,322.1593933105469,119999.9375
11700.0,84854.9609375,3742.209228515625,322.1591491699219,120000.03125
12600.0,84816.2734375,3741.990966796875,322.15826416015625,120000.03125
13500.0,84760.3359375,3741.431396484375,322.15838623046875,120000.0
14400.0,84684.1328125,3741.70751953125,322.157958984375,120000.0
15300.0,84611.9453125,3741.0166015625,322.1570739746094,120000.0
16200.0,84540.3671875,3741.619384765625,322.1562194824219,119999.90625
17100.0,84441.4453125,3740.5,322.1552429199219,120000.0
18000.0,84345.9765625,3741.1875,322.1540832519531,119999.9375
18900.0,84208.4375,3739.717529296875,322.1530456542969,120000.0
19800.0,84038.453125,3740.233154296875,322.1505126953125,119999.9375
20700.0,83836.234375,3739.57763671875,322.14892578125,120000.03125
21600.0,83633.375,3739.100341796875,322.14569091796875,119999.96875
22500.0,83435.890625,3739.709716796875,322.1438293457031,120000.03125
23400.0,83237.796875,3738.4091796875,322.14117431640625,120000.0
24300.0,83031.375,3739.58154296875,322.1387634277344,120000.03125
25200.0,41540.08203125,3187.277099609375,321.8774108886719,120001.0
26100.0,939.1221313476562,307.4101257324219,320.751708984375,120000.0
27000.0,956.0474243164062,635.1514892578125,318.8096923828125,120000.0
27900.0,972.5814208984375,943.3992309570312,316.745361328125,120000.0
28800.0,988.7330932617188,1234.3428955078125,314.7952575683594,120000.0
29700.0,1004.520751953125,1508.5447998046875,312.9661560058594,120000.0
30600.0,1019.9519653320312,1766.1468505859375,311.2521057128906,120000.0
31500.0,1035.0260009765625,2000.7747802734375,309.65277099609375,120000.0
32400.0,1049.7366943359375,2159.946533203125,308.15435791015625,120000.0
