,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,6193.00390625,293.14923095703125,293.14898681640625
600,6361.056640625,293.14666748046875,293.146484375
1200,6366.0263671875,293.146240234375,293.14605712890625
1800,6340.4052734375,293.146240234375,293.1460266113281
2400,6294.2041015625,293.14605712890625,293.1458435058594
3000,6313.955078125,293.1473388671875,293.147216796875
3600,6270.4033203125,293.1473388671875,293.1471862792969
4200,6232.32421875,293.14691162109375,293.1467590332031
4800,6184.841796875,293.1461486816406,293.1459655761719
5400,6173.0556640625,293.1461486816406,293.1459655761719
6000,6072.9638671875,293.1424560546875,293.14202880859375
6600,6090.1328125,293.14208984375,293.14166259765625
7200,6080.98046875,293.14208984375,293.1416320800781
7800,6051.3212890625,293.1416931152344,293.1412353515625
8400,6086.076171875,293.142822265625,293.1424255371094
9000,6060.0556640625,293.142822265625,293.1424255371094
9600,6061.4609375,293.143798828125,293.1434631347656
10200,6054.97998046875,293.1449279785156,293.1446533203125
10800,6025.669921875,293.1449279785156,293.1446533203125
11400,5964.763671875,293.14337158203125,293.14300537109375
12000,5894.7783203125,293.14129638671875,293.14080810546875
12600,5904.71044921875,293.14129638671875,293.14080810546875
13200,5903.685546875,293.1416015625,293.14111328125
13800,6173.09521484375,293.14996337890625,293.14996337890625
14400,6061.3349609375,293.1499328613281,293.1499328613281
15000,5987.4697265625,293.1481628417969,293.1480712890625
15600,5926.640625,293.1460876464844,293.1458740234375
16200,5938.296875,293.1460876464844,293.1458740234375
16800,5804.91943359375,293.1426086425781,293.1422119140625
17400,5752.4765625,293.140380859375,293.13983154296875
18000,5767.61328125,293.1403503417969,293.13983154296875
18600,5787.6416015625,293.14111328125,293.140625
19200,5723.25390625,293.1399841308594,293.1394348144531
19800,5724.0732421875,293.1399841308594,293.1394348144531
20400,5728.564453125,293.1403503417969,293.13983154296875
21000,5728.94775390625,293.1407470703125,293.14019775390625
21600,5714.404296875,293.1407470703125,293.1402282714844
22200,5654.0234375,293.1396484375,293.1390686035156
22800,5682.39306640625,293.1404113769531,293.1398620605469
23400,5661.7236328125,293.1404113769531,293.1398620605469
24000,5663.98681640625,293.1407775878906,293.1402587890625
24600,5602.23828125,293.1396484375,293.1390686035156
25200,5602.01171875,293.1396484375,293.1390686035156
25800,5619.78662109375,293.1404113769531,293.1398620605469
26400,5696.01806640625,293.1434326171875,293.1430358886719
27000,5647.64892578125,293.1434020996094,293.1430358886719
27600,5702.21875,293.1459655761719,293.145751953125
28200,5699.748046875,293.1470031738281,293.1468200683594
28800,5675.13037109375,293.1470031738281,293.1468200683594
29400,5529.09814453125,293.1451721191406,293.1448974609375
30000,5507.0009765625,293.1460266113281,293.14581298828125
