DateTime,Qheating_building_W,Tair_zoneNorth_K,Tair_zoneCore_K,Tair_zoneSouth_K
72000,22763.291,294.14423,291.5731,294.1443
72600,22881.021,294.1442,291.5634,294.14426
73200,22984.865,294.1442,291.5536,294.14423
73800,23080.188,294.14417,291.54376,294.1442
74400,23172.357,294.14413,291.5339,294.14417
75000,23257.387,294.1441,291.52396,294.14417
75600,23345.281,294.1441,291.51398,294.14413
76200,23436.271,294.14407,291.50397,294.1441
76800,23529.256,294.14404,291.49393,294.14407
77400,23623.135,294.144,291.48383,294.14407
78000,23716.75,294.144,291.4737,294.14404
78600,23811.186,294.14398,291.46353,294.144
79200,23907.18,294.14395,291.45337,294.14398
79800,24004.914,294.14392,291.44318,294.14395
80400,24104.57,294.1439,291.43298,294.14395
81000,24206.334,294.1439,291.42273,294.14392
81600,24310.387,294.14386,291.41248,294.1439
82200,24416.91,294.14383,291.40216,294.14386
82800,24526.086,294.1438,291.39178,294.14383
83400,24638.098,294.14377,291.38138,294.1438
84000,24753.13,294.14374,291.37088,294.14377
84600,24877.412,294.1437,291.36026,294.14374
85200,25016.13,294.14368,291.34946,294.1437
85800,25169.398,294.14365,291.33844,294.14368
86400,25338.068,294.1436,291.32718,294.14362
87000,25525.217,294.14355,291.31573,294.1436
87600,25732.752,294.1435,291.30402,294.14352
88200,25953.922,294.14343,291.29205,294.14346
88800,26182.252,294.14337,291.27985,294.1434
89400,26409.242,294.1433,291.26743,294.14334
90000,26628.15,294.14328,291.2549,294.1433
90600,26840.805,294.14322,291.24228,294.14325
91200,27048.746,294.14316,291.22958,294.1432
91800,27250.05,294.1431,291.21683,294.14316
92400,27440.434,294.14307,291.20413,294.1431
93000,27614.27,294.143,291.19156,294.14304
93600,27766.002,294.14297,291.17926,294.143
94200,27894.482,294.14294,291.16736,294.14297
94800,28002.314,294.1429,291.15582,294.14294
95400,28304.504,294.14288,291.1499,294.14294
96000,28408.537,294.14288,291.14987,294.1429
96600,28508.508,294.14285,291.14987,294.14288
97200,28613.75,294.14285,291.14984,294.14288
97800,28733.463,294.14282,291.14984,294.14285
98400,28870.186,294.1428,291.14984,294.14282
99000,29017.965,294.14276,291.1498,294.1428
99600,29169.973,294.14273,291.1498,294.14276
100200,29319.316,294.1427,291.14978,294.14273
100800,29463.818,294.14267,291.14978,294.1427
101400,29603.623,294.14264,291.14975,294.14267
102000,29738.676,294.1426,291.14975,294.14264
102600,29868.93,294.14258,291.14975,294.1426
103200,29994.332,294.14255,291.14972,294.14258
103800,30114.836,294.14255,291.14972,294.14258
104400,30230.389,294.14252,291.1497,294.14255
105000,30333.09,294.1425,291.1497,294.14252
105600,30434.943,294.1425,291.14966,294.1425
106200,30536.48,294.14246,291.14966,294.1425
106800,30636.617,294.14243,291.14966,294.14246
107400,30734.275,294.14243,291.14966,294.14243
108000,30828.37,294.1424,291.14963,294.14243
108600,30917.816,294.14236,291.14963,294.1424
109200,31001.537,294.14236,291.14963,294.1424
109800,31078.445,294.14233,291.1496,294.14236
110400,31147.463,294.14233,291.1496,294.14236
111000,31207.502,294.14233,291.14957,294.14236
111600,31257.055,294.1423,291.14957,294.14233
112200,26047.14,294.14365,291.14957,294.14368
112800,26822.004,294.14343,291.14954,294.14346
113400,28247.586,294.1431,291.14954,294.14313
114000,27512.37,294.14328,291.14954,294.1433
114600,27606.299,294.14325,291.1495,294.14328
115200,27646.395,294.14325,291.1495,294.14328
115800,27659.71,294.14325,291.1495,294.14328
116400,27630.34,294.14325,291.1495,294.1433
117000,27544.63,294.14328,291.1495,294.14334
117600,27399.758,294.1433,291.1495,294.14337
118200,27178.305,294.14334,291.14948,294.14346
118800,26978.588,294.14337,291.14948,294.14355
119400,26839.82,294.14337,291.14948,294.1436
120000,26747.88,294.1434,291.14948,294.14362
120600,26688.648,294.14343,291.14948,294.14362
121200,26647.996,294.14343,291.14948,294.14365
121800,26611.803,294.14346,291.14948,294.14365
122400,26575.83,294.1435,291.14948,294.14365
123000,26525.68,294.1435,291.14948,294.14365
123600,26453.63,294.14352,291.14948,294.14368
124200,26367.512,294.14355,291.14948,294.14368
124800,26275.146,294.1436,291.14944,294.1437
125400,26184.361,294.14362,291.14944,294.14374
126000,26102.98,294.14362,291.14944,294.14374
126600,26038.83,294.14365,291.14944,294.14377
127200,25999.734,294.14368,291.14944,294.14377
127800,25993.52,294.14368,291.14944,294.14377
128400,26028.01,294.14368,291.14944,294.14377
129000,26096.83,294.14365,291.14944,294.14374
129600,26157.443,294.14365,291.14944,294.14374
130200,26208.146,294.14365,291.14944,294.1437
130800,26250.787,294.14362,291.14944,294.1437
131400,26287.213,294.14362,291.1494,294.14368
132000,26319.271,294.14362,291.1494,294.14368
132600,26348.81,294.14362,291.1494,294.14368
133200,26377.676,294.14362,291.1494,294.14368
133800,26407.715,294.14362,291.1494,294.14368
134400,26440.777,294.1436,291.1494,294.14365
135000,26478.707,294.1436,291.1494,294.14365
135600,26523.352,294.1436,291.1494,294.14365
136200,26576.56,294.14355,291.14938,294.14362
136800,26640.178,294.14355,291.14938,294.14362
137400,26716.055,294.14352,291.14938,294.1436
138000,26806.035,294.14352,291.14938,294.1436
138600,26911.967,294.1435,291.14938,294.14355
139200,27035.697,294.14346,291.14938,294.14352
139800,27185.605,294.14343,291.14935,294.1435
140400,27346.621,294.1434,291.14935,294.14343
141000,27501.104,294.14337,291.14935,294.1434
141600,27649.166,294.14334,291.14935,294.14337
142200,27790.926,294.1433,291.14932,294.14334
142800,27926.498,294.14328,291.14932,294.1433
143400,28055.996,294.14325,291.14932,294.14328
144000,28179.535,294.14322,291.1493,294.14325
144600,28297.23,294.1432,291.1493,294.14325
145200,28409.2,294.14316,291.1493,294.14322
145800,28515.555,294.14316,291.1493,294.1432
146400,28616.414,294.14313,291.14926,294.14316
147000,28711.893,294.1431,291.14926,294.14316
147600,28802.104,294.1431,291.14926,294.14313
148200,28887.164,294.14307,291.14923,294.14313
148800,28967.19,294.14307,291.14923,294.1431
149400,29042.297,294.14304,291.14923,294.1431
150000,29112.598,294.14304,291.1492,294.14307
150600,29178.21,294.143,291.1492,294.14307
151200,29239.252,294.143,291.1492,294.14307
151800,30565.586,294.14267,291.14917,294.14273
152400,31703.154,294.1424,291.14917,294.14246
153000,32664.494,294.14215,291.14914,294.1422
153600,33462.145,294.14197,291.14914,294.142
154200,34108.64,294.1418,291.14914,294.14185
154800,34616.53,294.1417,291.1491,294.14172
155400,34998.348,294.1416,291.1491,294.14163
156000,35266.64,294.14154,291.1491,294.14157
156600,35433.94,294.1415,291.14908,294.14154
157200,35512.797,294.14148,291.14908,294.1415
157800,35515.746,294.14148,291.14908,294.1415
158400,35455.336,294.1415,291.14905,294.14154
159000,35344.098,294.14154,291.14905,294.14157
159600,35194.582,294.14157,291.14905,294.14163
160200,35019.324,294.14163,291.14902,294.14166
160800,34830.867,294.1417,291.14902,294.14172
161400,34641.75,294.14172,291.14902,294.14178
162000,34464.516,294.14178,291.149,294.1418
162600,34311.7,294.14185,291.149,294.14188
163200,34195.848,294.14188,291.149,294.1419
163800,34129.496,294.1419,291.14896,294.14194
164400,34125.188,294.1419,291.14896,294.14194
165000,34195.457,294.14188,291.14893,294.14194
165600,34352.848,294.14185,291.14893,294.1419
166200,34609.902,294.1418,291.1489,294.14185
166800,34979.156,294.14172,291.1489,294.14175
167400,35473.156,294.1416,291.14886,294.14163
168000,35630.58,294.14157,291.14886,294.1416
168600,35728.246,294.14154,291.14883,294.14157
169200,35781.805,294.14154,291.14883,294.14157
169800,35797.395,294.14154,291.14883,294.14157
170400,35781.152,294.14154,291.14883,294.14157
171000,35739.223,294.14157,291.14883,294.1416
171600,35677.74,294.14157,291.14883,294.1416
172200,35602.848,294.1416,291.14883,294.14163
172800,35520.688,294.1416,291.14883,294.14163
173400,35488.145,294.14163,291.1488,294.14166
174000,35493.777,294.14163,291.1488,294.14166
174600,35527.457,294.14163,291.1488,294.14166
175200,35579.07,294.1416,291.1488,294.14163
175800,35638.496,294.1416,291.14877,294.14163
176400,35695.617,294.1416,291.14877,294.14163
177000,35745.117,294.14157,291.14877,294.1416
177600,35818.234,294.14157,291.14877,294.1416
178200,35910.125,294.14154,291.14874,294.14157
178800,36012.23,294.14154,291.14874,294.14157
179400,36115.984,294.1415,291.14874,294.14154
180000,36212.832,294.14148,291.14874,294.1415
180600,36294.215,294.14148,291.1487,294.1415
181200,36354.684,294.14145,291.1487,294.14148
181800,36401.82,294.14145,291.1487,294.14148
182400,36438.742,294.14145,291.14868,294.14148
183000,36468.285,294.14145,291.14868,294.14148
183600,36493.277,294.14145,291.14868,294.14148
184200,36516.55,294.14145,291.14868,294.14148
184800,36540.945,294.14145,291.14865,294.14148
185400,36569.293,294.14142,291.14865,294.14145
186000,36604.418,294.14142,291.14865,294.14145
186600,36649.164,294.14142,291.14865,294.14145
187200,36692.688,294.14142,291.14865,294.14145
187800,36690.76,294.14142,291.14862,294.14145
188400,36698.715,294.14142,291.14862,294.14145
189000,36715.445,294.14142,291.14862,294.14145
189600,36739.844,294.14142,291.14862,294.14145
190200,36770.813,294.14142,291.14862,294.14145
190800,36807.25,294.1414,291.1486,294.14142
191400,36848.047,294.1414,291.1486,294.14142
192000,36892.1,294.1414,291.1486,294.14142
192600,36938.316,294.1414,291.1486,294.14142
