Datetime,Qheating_building_W,Tair_dayzone_K,Tair_nightzone_K
0,15564.687,263.15137,293.09454
600,15041.886,263.25708,293.0984
1200,14954.686,263.34564,293.09903
1800,14909.756,263.40775,293.09937
2400,14848.815,263.45663,293.09982
3000,14791.205,263.50214,293.10025
3600,14739.055,263.549,293.10062
4200,14711.414,263.5951,293.10083
4800,14671.767,263.64966,293.10114
5400,14627.025,263.71194,293.10144
6000,14584.102,263.78113,293.10178
6600,14550.192,263.86063,293.10202
7200,14524.191,263.94653,293.1022
7800,14494.945,264.03833,293.10242
8400,14457.567,264.14056,293.1027
9000,14418.077,264.25104,293.103
9600,14382.493,264.36746,293.10324
10200,14356.435,264.48965,293.10345
10800,14335.841,264.61444,293.1036
11400,14305.441,264.7438,293.10382
12000,14286.102,264.87393,293.10397
12600,14274.345,265.005,293.10403
13200,14266.695,265.13727,293.1041
13800,14255.279,265.26892,293.1042
14400,14225.615,265.40433,293.1044
15000,14164.864,265.55118,293.10486
15600,14127.602,265.69894,293.10513
16200,14105.187,265.84775,293.1053
16800,14088.976,265.9977,293.1054
17400,14070.431,266.1443,293.10553
18000,14045.1045,266.2915,293.10574
18600,14011.157,266.44257,293.106
19200,13993.355,266.58972,293.1061
19800,13982.974,266.7348,293.1062
20400,13971.286,266.87967,293.10626
21000,13946.748,267.02258,293.10645
21600,13907.099,267.16928,293.10675
22200,13896.588,267.31516,293.1068
22800,13882.968,267.45993,293.10693
23400,13865.774,267.6042,293.10706
24000,13844.546,267.74854,293.1072
24600,13822.692,267.89447,293.10736
25200,13809.296,268.03946,293.10745
25800,13789.054,268.1844,293.1076
26400,13775.625,268.3265,293.10773
27000,13763.387,268.46725,293.1078
27600,13746.718,268.60812,293.1079
28200,13722.753,268.7486,293.1081
28800,13697.448,268.89008,293.10828
29400,13680.907,269.03003,293.1084
30000,13652.39,269.17334,293.1086
30600,13617.633,269.3187,293.1089
31200,13582.371,269.4648,293.10913
31800,13547.349,269.61334,293.1094
32400,13517.473,269.7616,293.10962
33000,13491.656,269.90784,293.1098
33600,13463.599,270.0516,293.11002
34200,13429.377,270.1953,293.11026
34800,13401.987,270.33774,293.11047
35400,13381.855,270.4775,293.1106
36000,13366.203,270.61377,293.11072
36600,13321.512,270.7516,293.11105
37200,13284.606,270.8925,293.11133
37800,13256.287,271.03186,293.11154
38400,13222.87,271.17084,293.1118
39000,13189.057,271.3099,293.11203
39600,13155.827,271.4488,293.11227
40200,13116.041,271.58514,293.11255
40800,13039.079,271.73468,293.11313
41400,12946.762,271.8914,293.1138
42000,12860.908,272.04935,293.11444
42600,12806.291,272.20517,293.11484
43200,12775.603,272.35712,293.11505
43800,12730.589,272.50485,293.1154
44400,12703.066,272.6501,293.1156
45000,12685.709,272.79156,293.11572
45600,12788.44,272.9114,293.11496
46200,12827.613,273.013,293.1147
46800,12795.241,273.1274,293.11493
47400,12765.439,273.2509,293.11514
48000,12752.98,273.377,293.11523
48600,12749.693,273.5,293.11526
49200,12727.289,273.6232,293.11542
49800,12687.197,273.75198,293.11572
50400,12645.22,273.8842,293.11603
51000,12620.495,274.0171,293.1162
51600,12608.178,274.14774,293.1163
52200,12830.577,274.2739,293.11465
52800,8024.46,274.39676,292.03046
53400,8024.46,274.517,291.33575
54000,8024.46,274.63428,290.84586
54600,8024.46,274.74408,290.462
55200,8024.46,274.85208,290.16614
55800,8024.46,274.9599,289.94165
56400,8024.46,275.071,289.77277
57000,8024.46,275.1855,289.64465
57600,8024.46,275.3043,289.5482
58200,8024.46,275.421,289.46808
58800,8024.46,275.53702,289.3985
59400,8024.46,275.65305,289.3384
60000,8024.46,275.77347,289.29022
60600,8024.46,275.88882,289.24133
61200,8024.46,275.99817,289.18988
61800,8024.46,276.10083,289.13297
62400,8024.46,276.20764,289.08258
63000,8024.46,276.31616,289.03598
63600,8024.46,276.42484,288.9915
64200,8024.46,276.53317,288.94867
64800,11951.726,276.64078,289.54968
65400,10062.824,276.75317,289.80167
66000,8024.46,276.8715,289.72638
66600,8024.46,276.98846,289.42667
67200,8024.46,277.10114,289.21558
67800,8024.46,277.21027,289.06183
68400,8024.46,277.3209,288.94968
69000,8024.46,277.43176,288.86465
69600,8024.46,277.53906,288.7931
70200,8024.46,277.64285,288.73
70800,8024.46,277.74368,288.67102
71400,8024.46,277.84427,288.61676
72000,8024.46,277.95078,288.57275
72600,8024.46,278.0607,288.5362
73200,11316.429,278.17078,288.602
73800,12566.483,278.2755,289.54517
74400,16572.96,278.3803,291.32602
75000,16572.96,278.48825,292.41687
75600,16572.96,278.59897,293.07086
76200,14739.075,278.70938,293.10062
76800,14575.437,278.81738,293.10184
77400,14458.079,278.92267,293.1027
78000,14355.764,279.02808,293.10345
78600,14279.726,279.13297,293.104
79200,14230.412,279.2345,293.10437
79800,14199.74,279.3285,293.10458
80400,14146.738,279.427,293.10498
81000,14088.343,279.52686,293.1054
81600,14040.9795,279.62604,293.10577
82200,14009.328,279.7255,293.106
82800,13980.301,279.8226,293.1062
83400,13936.252,279.92172,293.10654
84000,13908.3545,280.01773,293.10675
84600,13884.273,280.1132,293.1069
85200,13849.944,280.21042,293.10718
85800,13816.887,280.30722,293.10742
86400,13796.029,280.40347,293.10757
87000,13778.475,280.49683,293.1077
87600,13753.814,280.5918,293.10788
88200,13729.079,280.68677,293.10806
88800,13711.03,280.78055,293.1082
89400,13700.42,280.873,293.10828
90000,13687.174,280.96408,293.10837
90600,13659.459,281.05682,293.10855
91200,13636.784,281.15005,293.10873
91800,13618.816,281.24313,293.10886
92400,13606.471,281.335,293.10895
93000,13589.346,281.42563,293.10907
93600,13563.76,281.5171,293.10928
94200,13538.948,281.61032,293.10947
94800,13520.177,281.70212,293.1096
95400,13504.742,281.79282,293.1097
96000,13489.811,281.88263,293.1098
96600,13473.484,281.97107,293.10992
97200,13453.977,282.0596,293.11008
97800,13422.6045,282.1518,293.11032
98400,13415.491,282.23898,293.11035
99000,13417.054,282.3241,293.11035
99600,13412.257,282.40903,293.11038
100200,13393.603,282.49338,293.11053
100800,13367.396,282.58054,293.11072
101400,13339.829,282.67087,293.11093
102000,13323.33,282.75888,293.11102
102600,13310.916,282.84586,293.1111
103200,13296.851,282.9323,293.11124
103800,13273.653,283.01883,293.1114
104400,13250.817,283.10608,293.11157
105000,14052.53,283.1897,293.10568
105600,12557.261,283.27347,293.11667
106200,11614.534,283.35754,293.1236
106800,13191.42,283.4427,293.112
107400,11853.478,283.5304,292.95517
108000,11393.214,283.61322,292.62524
108600,12345.321,283.69342,292.61823
109200,12366.985,283.7731,292.61807
109800,12370.504,283.85522,292.61804
110400,12375.807,283.93765,292.618
111000,11433.823,284.0192,292.62494
111600,12514.775,284.1,292.61697
112200,13433.528,284.18082,292.82452
112800,13347.385,284.26215,292.99182
113400,13467.871,284.34512,293.11
114000,13187.274,284.4271,293.11203
114600,13153.921,284.50705,293.11227
115200,13134.385,284.586,293.11243
115800,13100.73,284.6668,293.11267
116400,13072.379,284.75003,293.11288
117000,13049.5205,284.83325,293.11304
117600,13023.891,284.91504,293.11325
118200,13319.057,284.99628,293.06345
118800,12353.612,285.07877,292.9753
119400,11536.963,285.1636,292.74323
120000,12227.934,285.2498,292.61908
120600,12118.325,285.3327,292.6199
121200,12136.006,285.41248,292.61978
121800,12137.087,285.4911,292.61975
122400,12124.921,285.57162,292.61984
123000,12103.419,285.65176,292.62
123600,12016.585,285.75,292.62064
124200,11928.792,285.85275,292.62128
124800,11903.45,285.95517,292.6215
125400,11871.389,286.05374,292.6217
126000,11844.52,286.14673,292.62192
126600,11836.886,286.23624,292.62198
127200,9371.644,286.31915,292.33057
127800,8475.309,286.38992,291.7181
128400,8024.46,286.4504,291.0898
129000,8024.46,286.50507,290.61847
129600,8024.46,286.56406,290.25964
130200,8024.46,286.62717,289.99545
130800,8024.46,286.69424,289.80157
131400,8024.46,286.76587,289.6585
132000,8024.46,286.84216,289.55353
132600,8024.46,286.92313,289.47614
133200,8024.46,287.00528,289.41684
133800,8024.46,287.08224,289.36353
134400,8024.46,287.1606,289.3192
